time;t_mean;t_min;t_max;GlobR;hpa;rainfall;lon;lat;PH2O_kpa;radiation;PAR;esa;vpd;rh;Precsum_a;lamposumma_v;wind_speed;aika;vuosi;kk;paiva;longitude;latitude
2011-07-16;13.7;10.9;16.8;7131.0;13.52;11.6;3445000;7215000;1.352;7131.000000000001;41.267361111111114;1.566553736882571;0.21455373688257096;86.30409338465905;341.6;650.5999999999999;2.0;20110716;2011;7;16;3445462.033463862;7214079.106267728
2011-07-17;16.4;12.3;20.4;24062.0;13.84;0.1;3445000;7215000;1.3840000000000001;24062.0;139.2476851851852;1.8638924853252323;0.4798924853252322;74.2532099301052;341.70000000000005;661.9999999999999;2.0;20110717;2011;7;17;3445462.033463862;7214079.106267728
2011-07-18;18.3;12.5;22.7;15287.0;15.86;0.0;3445000;7215000;1.586;15287.0;88.46643518518519;2.101842009915069;0.5158420099150691;75.45762205333818;341.70000000000005;675.2999999999998;2.0;20110718;2011;7;18;3445462.033463862;7214079.106267728
2011-07-19;18.9;15.5;23.0;10918.0;17.51;1.5;3445000;7215000;1.7510000000000003;10918.0;63.182870370370374;2.182331512483118;0.43133151248311785;80.23528918425703;343.20000000000005;689.1999999999998;2.0;20110719;2011;7;19;3445462.033463862;7214079.106267728
2011-07-20;19.2;14.5;23.2;25208.0;16.26;0.1;3445000;7215000;1.6260000000000003;25208.0;145.87962962962962;2.2235817183830737;0.5975817183830734;73.125263917999;343.30000000000007;703.3999999999999;2.0;20110720;2011;7;20;3445462.033463862;7214079.106267728
2011-07-21;18.5;14.6;22.8;8057.0;17.8;4.5;3445000;7215000;1.7800000000000002;8057.0;46.626157407407405;2.1283771726594183;0.34837717265941803;83.63179340886659;347.80000000000007;716.8999999999999;2.0;20110721;2011;7;21;3445462.033463862;7214079.106267728
2011-07-22;20.5;17.0;24.7;14042.0;21.41;5.8;3445000;7215000;2.141;14042.0;81.26157407407408;2.4103482318250418;0.26934823182504175;88.82533949789074;353.6000000000001;732.3999999999999;2.0;20110722;2011;7;22;3445462.033463862;7214079.106267728
2011-07-23;22.7;17.8;28.7;18397.0;21.59;4.2;3445000;7215000;2.1590000000000003;18397.0;106.46412037037037;2.7578864330645896;0.5988864330645893;78.28458685301625;357.80000000000007;750.0999999999999;2.0;20110723;2011;7;23;3445462.033463862;7214079.106267728
2011-07-24;20.2;18.1;25.1;10869.0;21.67;21.6;3445000;7215000;2.1670000000000003;10869.0;62.89930555555556;2.3660687520680477;0.19906875206804742;91.58651869714045;379.4000000000001;765.3;2.0;20110724;2011;7;24;3445462.033463862;7214079.106267728
2011-07-25;18.2;14.5;21.6;23483.0;14.72;0.0;3445000;7215000;1.4720000000000002;23483.0;135.89699074074073;2.08868372640753;0.61668372640753;70.47500688540306;379.4000000000001;778.5;2.0;20110725;2011;7;25;3445462.033463862;7214079.106267728
2011-07-26;20.1;14.2;25.3;17855.0;17.02;0.1;3445000;7215000;1.702;17855.0;103.32754629629629;2.3514683799663736;0.6494683799663736;72.38030562096432;379.5000000000001;793.6;2.0;20110726;2011;7;26;3445462.033463862;7214079.106267728
2011-07-27;20.2;16.0;24.0;21026.0;18.5;0.2;3445000;7215000;1.85;21026.0;121.67824074074075;2.3660687520680477;0.5160687520680476;78.18876769252876;379.7000000000001;808.8000000000001;2.0;20110727;2011;7;27;3445462.033463862;7214079.106267728
2011-07-28;19.1;15.1;22.5;23908.0;17.67;0.0;3445000;7215000;1.7670000000000003;23908.000000000004;138.3564814814815;2.209756240355393;0.4427562403553926;79.96357099169525;379.7000000000001;822.9000000000001;2.0;20110728;2011;7;28;3445462.033463862;7214079.106267728
2011-07-29;18.8;13.8;23.3;17903.0;16.23;0.1;3445000;7215000;1.6230000000000002;17903.0;103.60532407407408;2.1687315608864814;0.5457315608864812;74.83637114298229;379.8000000000001;836.7;2.0;20110729;2011;7;29;3445462.033463862;7214079.106267728
2011-07-30;17.9;13.5;22.1;19470.0;15.01;0.0;3445000;7215000;1.5010000000000001;19470.0;112.67361111111111;2.04964197860545;0.5486419786054497;73.232301819914;379.8000000000001;849.6;2.0;20110730;2011;7;30;3445462.033463862;7214079.106267728
2011-07-31;16.0;13.2;19.7;23506.0;11.55;0.0;3445000;7215000;1.155;23505.999999999996;136.03009259259258;1.8169308431023237;0.6619308431023236;63.568737598613936;379.8000000000001;860.6;2.0;20110731;2011;7;31;3445462.033463862;7214079.106267728
2011-08-01;13.0;7.2;18.2;22272.0;9.75;0.0;3445000;7215000;0.9750000000000001;22272.0;128.88888888888889;1.4966428718608684;0.5216428718608683;65.14580186973546;379.8000000000001;868.6;2.0;20110801;2011;8;1;3445462.033463862;7214079.106267728
2011-08-02;15.4;8.9;19.7;24324.0;12.18;0.0;3445000;7215000;1.218;24324.0;140.76388888888889;1.7484390527773501;0.5304390527773502;69.66213652487563;379.8000000000001;879.0;2.0;20110802;2011;8;2;3445462.033463862;7214079.106267728
2011-08-03;17.0;9.1;22.8;21839.0;13.46;0.0;3445000;7215000;1.346;21839.0;126.38310185185185;1.9363360584848088;0.5903360584848087;69.5127270962072;379.8000000000001;891.0;2.0;20110803;2011;8;3;3445462.033463862;7214079.106267728
2011-08-04;16.2;14.2;20.5;18670.0;14.26;0.0;3445000;7215000;1.4260000000000002;18670.0;108.04398148148148;1.8402799511765215;0.4142799511765214;77.48821037192383;379.8000000000001;902.2;2.0;20110804;2011;8;4;3445462.033463862;7214079.106267728
2011-08-05;13.1;7.1;17.6;15974.0;9.32;0.4;3445000;7215000;0.932;15974.0;92.44212962962963;1.5064587686323572;0.5744587686323571;61.86694381593456;380.2000000000001;910.3000000000001;2.0;20110805;2011;8;5;3445462.033463862;7214079.106267728
2011-08-06;13.8;10.0;17.9;13956.0;12.32;0.3;3445000;7215000;1.2320000000000002;13956.0;80.76388888888889;1.5767721309169742;0.344772130916974;78.13430842943227;380.5000000000001;919.1;2.0;20110806;2011;8;6;3445462.033463862;7214079.106267728
