time;t_mean;t_min;t_max;GlobR;hpa;rainfall;lon;lat;PH2O_kpa;radiation;PAR;esa;vpd;rh;Precsum_a;lamposumma_v;wind_speed;aika;vuosi;kk;paiva;longitude;latitude
2006-07-08;24.8;16.2;30.9;26644.0;14.08;0.0;3385000;6695000;1.4080000000000001;26644.0;154.1898148148148;3.129818324621618;1.7218183246216177;44.986636729792345;169.39999999999998;672.4;2.0;20060708;2006;7;8;3387739.869744148;6696836.513279357
2006-07-09;23.9;17.7;29.0;25801.0;17.69;0.0;3385000;6695000;1.7690000000000001;25800.999999999996;149.31134259259258;2.9653632860353474;1.1963632860353473;59.65542260304741;169.39999999999998;691.3;2.0;20060709;2006;7;9;3387739.869744148;6696836.513279357
2006-07-10;22.9;16.0;28.9;20812.0;17.86;0.2;3385000;6695000;1.786;20812.0;120.43981481481481;2.7915559792981974;1.0055559792981974;63.97865610594002;169.59999999999997;709.1999999999999;2.0;20060710;2006;7;10;3387739.869744148;6696836.513279357
2006-07-11;22.0;16.1;27.9;26903.0;16.47;0.0;3385000;6695000;1.647;26903.000000000004;155.68865740740742;2.6428285124166098;0.9958285124166097;62.31959403578473;169.59999999999997;726.1999999999999;2.0;20060711;2006;7;11;3387739.869744148;6696836.513279357
2006-07-12;21.3;17.6;25.7;23911.0;15.04;0.0;3385000;6695000;1.504;23910.999999999996;138.37384259259258;2.5320002254222778;1.0280002254222778;59.39967875591987;169.59999999999997;742.4999999999999;2.0;20060712;2006;7;12;3387739.869744148;6696836.513279357
2006-07-13;19.3;11.8;25.3;25888.0;13.89;0.0;3385000;6695000;1.3890000000000002;25888.0;149.8148148148148;2.237483075849228;0.8484830758492277;62.07868184535031;169.59999999999997;756.7999999999998;2.0;20060713;2006;7;13;3387739.869744148;6696836.513279357
2006-07-14;18.7;14.8;23.6;19678.0;13.21;0.0;3385000;6695000;1.3210000000000002;19678.0;113.87731481481481;2.155206085216996;0.8342060852169957;61.29344237940921;169.59999999999997;770.4999999999999;2.0;20060714;2006;7;14;3387739.869744148;6696836.513279357
2006-07-15;16.7;11.5;20.8;22356.0;8.84;0.0;3385000;6695000;0.884;22356.0;129.375;1.899810753623445;1.015810753623445;46.53095042829801;169.59999999999997;782.1999999999999;2.0;20060715;2006;7;15;3387739.869744148;6696836.513279357
2006-07-16;17.2;10.2;22.8;26773.0;8.08;0.0;3385000;6695000;0.808;26772.999999999996;154.93634259259258;1.9610278101311807;1.1530278101311806;41.202883295466876;169.59999999999997;794.4;2.0;20060716;2006;7;16;3387739.869744148;6696836.513279357
2006-07-17;19.1;9.7;25.9;25628.0;11.31;0.1;3385000;6695000;1.131;25628.0;148.3101851851852;2.209756240355393;1.078756240355393;51.18211589791018;169.69999999999996;808.5;2.0;20060717;2006;7;17;3387739.869744148;6696836.513279357
2006-07-18;18.9;16.5;23.4;24494.0;10.81;0.0;3385000;6695000;1.0810000000000002;24494.0;141.7476851851852;2.182331512483118;1.101331512483118;49.53417910233116;169.69999999999996;822.4;2.0;20060718;2006;7;18;3387739.869744148;6696836.513279357
2006-07-19;15.4;8.9;20.4;20520.0;8.43;0.0;3385000;6695000;0.843;20520.0;118.75;1.7484390527773501;0.9054390527773502;48.21443439283264;169.69999999999996;832.8;2.0;20060719;2006;7;19;3387739.869744148;6696836.513279357
2006-07-20;15.8;9.8;21.1;19300.0;8.5;0.0;3385000;6695000;0.8500000000000001;19300.0;111.68981481481481;1.7938426491214736;0.9438426491214735;47.38431213107146;169.69999999999996;843.5999999999999;2.0;20060720;2006;7;20;3387739.869744148;6696836.513279357
2006-07-21;15.1;8.2;19.9;15412.0;10.99;1.3;3385000;6695000;1.099;15412.0;89.18981481481481;1.7150528575392223;0.6160528575392223;64.07965767170919;170.99999999999997;853.6999999999999;2.0;20060721;2006;7;21;3387739.869744148;6696836.513279357
2006-07-22;15.0;12.0;19.2;11740.0;14.65;2.8;3385000;6695000;1.465;11740.0;67.93981481481481;1.70404945379493;0.23904945379492992;85.97168331807711;173.79999999999998;863.6999999999999;2.0;20060722;2006;7;22;3387739.869744148;6696836.513279357
2006-07-23;18.0;9.2;24.4;20930.0;12.16;0.0;3385000;6695000;1.2160000000000002;20930.0;121.12268518518519;2.0625840498634305;0.8465840498634303;58.95517324884361;173.79999999999998;876.6999999999999;2.0;20060723;2006;7;23;3387739.869744148;6696836.513279357
2006-07-24;19.7;10.6;27.2;20304.0;14.85;1.6;3385000;6695000;1.485;20304.0;117.5;2.2938544040474684;0.8088544040474683;64.73819774174602;175.39999999999998;891.4;2.0;20060724;2006;7;24;3387739.869744148;6696836.513279357
2006-07-25;21.1;14.8;28.3;23350.0;14.14;0.0;3385000;6695000;1.4140000000000001;23350.0;135.1273148148148;2.5010931987273324;1.0870931987273322;56.53527828229297;175.39999999999998;907.5;2.0;20060725;2006;7;25;3387739.869744148;6696836.513279357
2006-07-26;19.4;13.9;25.8;24149.0;10.88;0.1;3385000;6695000;1.088;24149.000000000004;139.75115740740742;2.25146066694944;1.1634606669494398;48.32418420501027;175.49999999999997;921.9;2.0;20060726;2006;7;26;3387739.869744148;6696836.513279357
2006-07-27;16.4;10.5;21.6;24484.0;9.2;0.1;3385000;6695000;0.9199999999999999;24484.0;141.6898148148148;1.8638924853252323;0.9438924853252324;49.359070184752014;175.59999999999997;933.3;2.0;20060727;2006;7;27;3387739.869744148;6696836.513279357
2006-07-28;16.9;9.0;23.3;23803.0;10.53;0.1;3385000;6695000;1.053;23802.999999999996;137.74884259259258;1.9240929716816262;0.8710929716816262;54.72708520314873;175.69999999999996;945.1999999999999;2.0;20060728;2006;7;28;3387739.869744148;6696836.513279357
2006-07-29;19.2;14.3;24.4;18814.0;12.03;0.0;3385000;6695000;1.203;18814.0;108.87731481481481;2.2235817183830737;1.0205817183830737;54.101901902431;175.69999999999996;959.4;2.0;20060729;2006;7;29;3387739.869744148;6696836.513279357
2006-07-30;15.5;12.1;21.3;18824.0;11.93;0.0;3385000;6695000;1.193;18824.0;108.93518518518519;1.7596941250149196;0.5666941250149196;67.79587333053608;175.69999999999996;969.9;2.0;20060730;2006;7;30;3387739.869744148;6696836.513279357
2006-07-31;14.7;8.6;20.5;21157.0;10.5;0.0;3385000;6695000;1.05;21157.0;122.4363425925926;1.671411007361247;0.6214110073612469;62.82117297155388;175.69999999999996;979.6;2.0;20060731;2006;7;31;3387739.869744148;6696836.513279357
2006-08-01;15.6;6.7;20.7;27108.0;11.87;0.0;3385000;6695000;1.187;27108.0;156.875;1.771012876727402;0.584012876727402;67.02379274584493;175.69999999999996;990.2;2.0;20060801;2006;8;1;3387739.869744148;6696836.513279357
2006-08-02;18.5;12.1;23.5;26190.0;12.87;0.0;3385000;6695000;1.287;26190.0;151.5625;2.1283771726594183;0.8413771726594184;60.46860568382655;175.69999999999996;1003.7;2.0;20060802;2006;8;2;3387739.869744148;6696836.513279357
2006-08-03;17.8;13.4;21.5;14580.0;14.62;0.2;3385000;6695000;1.462;14580.0;84.375;2.0367713020241687;0.5747713020241687;71.78027295195322;175.89999999999995;1016.5;2.0;20060803;2006;8;3;3387739.869744148;6696836.513279357
2006-08-04;18.9;13.3;25.4;18004.0;13.53;0.0;3385000;6695000;1.353;18004.0;104.18981481481481;2.182331512483118;0.8293315124831182;61.997913344545836;175.89999999999995;1030.4;2.0;20060804;2006;8;4;3387739.869744148;6696836.513279357
2006-08-05;19.3;9.9;26.4;22237.0;12.44;0.0;3385000;6695000;1.244;22236.999999999996;128.68634259259258;2.237483075849228;0.9934830758492279;55.59818590037133;175.89999999999995;1044.7;2.0;20060805;2006;8;5;3387739.869744148;6696836.513279357
2006-08-06;21.1;12.6;29.1;20984.0;12.18;0.0;3385000;6695000;1.218;20984.0;121.43518518518519;2.5010931987273324;1.2830931987273324;48.698705055044435;175.89999999999995;1060.8;2.0;20060806;2006;8;6;3387739.869744148;6696836.513279357
2006-08-07;19.9;11.5;25.9;21373.0;11.41;0.0;3385000;6695000;1.141;21373.0;123.6863425925926;2.3225046174156985;1.1815046174156985;49.12799705300976;175.89999999999995;1075.7;2.0;20060807;2006;8;7;3387739.869744148;6696836.513279357
2006-08-08;19.6;11.8;24.8;18533.0;12.24;0.0;3385000;6695000;1.2240000000000002;18533.0;107.2511574074074;2.2796459735098047;1.0556459735098045;53.692547624642636;175.89999999999995;1090.3;2.0;20060808;2006;8;8;3387739.869744148;6696836.513279357
2006-08-09;19.9;14.4;25.2;14008.0;11.62;0.2;3385000;6695000;1.162;14008.0;81.06481481481481;2.3225046174156985;1.1605046174156985;50.03219331778908;176.09999999999994;1105.2;2.0;20060809;2006;8;9;3387739.869744148;6696836.513279357
2006-08-10;17.7;9.8;24.7;18770.0;12.85;0.0;3385000;6695000;1.2850000000000001;18770.0;108.62268518518519;2.023971684225924;0.7389716842259237;63.48903050446842;176.09999999999994;1117.9;2.0;20060810;2006;8;10;3387739.869744148;6696836.513279357
2006-08-11;18.5;10.6;24.9;20542.0;11.78;0.0;3385000;6695000;1.178;20542.0;118.87731481481481;2.1283771726594183;0.9503771726594183;55.347332941373494;176.09999999999994;1131.4;2.0;20060811;2006;8;11;3387739.869744148;6696836.513279357
2006-08-12;19.6;11.9;25.5;18684.0;11.36;0.0;3385000;6695000;1.136;18684.0;108.125;2.2796459735098047;1.1436459735098048;49.8322991026095;176.09999999999994;1146.0;2.0;20060812;2006;8;12;3387739.869744148;6696836.513279357
2006-08-13;20.0;15.9;24.8;15390.0;14.42;0.0;3385000;6695000;1.4420000000000002;15390.0;89.0625;2.336947123406443;0.894947123406443;61.704434197812475;176.09999999999994;1161.0;2.0;20060813;2006;8;13;3387739.869744148;6696836.513279357
2006-08-14;19.9;17.6;22.8;13694.0;17.52;0.1;3385000;6695000;1.752;13694.0;79.24768518518519;2.3225046174156985;0.5705046174156985;75.43580266158904;176.19999999999993;1175.9;2.0;20060814;2006;8;14;3387739.869744148;6696836.513279357
